,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum,rating,lat,lon,stnum
55,Andre Joseph,Andre Joseph,1546 Meridan Road,West Palm Beach,FL,33417.0,andre joseph,33417,1546,31.0,-80.1338130889,26.7007234185,1546.0
56,L & E International,L & E International  Services  Inc.,2900 West 84th Street,Hialeah,FL,33018.0,l & e international,33018,2900,0.0,-80.3431243151,25.8973812649,2900.0
57,Ace Septic Tank Service,"Ace Septic Tank Service, Inc.",3551 E. Hartley Court,Hernando,FL,34442.0,ace septic tank service,34442,3551,0.0,-82.3753719023,28.8956555062,3551.0
58,Safe Harbor Animal Sanctuary & Hospital,The Humane Society of Greater Jupiter/Tequest,185 E. Indiantown Road,Jupiter,FL,33477.0,safe harbor animal sanctuary & hospital,33477,185,0.0,-80.0909242395,26.9341733916,185.0
59,"Cushion Solutions, Inc.",Cushion Solutions Incorporated,802  N. Rome Ave,Tampa,FL,33606.0,cushion solutions inc,33606,802,0.0,-82.4768604868,27.9505668019,802.0
60,"Orange Co., LP - AGER","Orange Co., LP",12010 NE Highway 70,Arcadia,FL,34266.0,orange co lp - ager,34266,12010,29.0,-81.8596481341,27.2162813791,12.0
61,The Cracked Egg,"The Cracked Egg of Weeki Wachee, Inc.",4670 Commercial Way,Brooksville,FL,34604.0,the cracked egg,34604,4670,10.0,-82.5952626555,28.4954648205,4670.0
62,Maid Pro,"Republic Enterprise Systems, Inc.",1422 E. Fletcher Avenue,tampa,FL,33612.0,maid pro,33612,1422,16.0,-82.4392488118,28.0693477197,1800.0
63,Julio's Natural Food Emporium,Julio's Natural Food Emporium LLC,1602 NE Miami Gardens Dr,Miami,FL,33179.0,julios natural food emporium,33179,1602,11.0,-80.1685706356,25.9459130744,1593.0
64,Publix,"Publix Super Markets, Inc.",15880 Summerlin,Fort Myers,FL,33908.0,publix,33908,15880,25.0,-81.9537335224,26.4941482642,18590.0
65,Pier Restaurant,"Charles Meyers Enterprises, Inc.",215 South A1A,Flagler Beach,FL,32136.0,pier restaurant,32136,215,2.0,-81.1270181072,29.4804728172,215.0
66,Jolli Mons Grill Restaurant,"Beach Fire, Inc & Steven D Stagmer (a person)",941 Huntley Avenue,Dunedin,FL,34698.0,jolli mons grill restaurant,34698,941,0.0,-82.789088936,28.0146379318,941.0
67,Fisher Cabinets Company,"Fisher Cabinet Company, L,L.C.",2475 Interstate Circle,Pensacola,FL,32526.0,fisher cabinets company,32526,2475,0.0,-87.3081255637,30.5158493999,2475.0
68,Tomoka Oaks Golf and Country Club,RTH Inc,20 Tomoka Oaks Blvd,Ormond Beach,FL,32174.0,tomoka oaks golf and country club,32174,20,0.0,-81.0898223319,29.2939773303,20.0
69,Centro Peruano Arequipeo Restaurant,"Centro Peruano Arequipeno, Inc",2300 SW 8th Street,Miami,FL,33135.0,centro peruano arequipeo restaurant,33135,2300,6.0,-80.2482608842,25.7648032543,3200.0
70,Plantation Housing Corporation,Plantation Housing Corporation,2425 Sadler Road,Fernandina Beach,FL,32034.0,plantation housing corporation,32034,2425,0.0,-81.4409601823,30.6392985932,2425.0
71,Mighty Mushroom Pizzeria & Grill,"Might Mushroom, Inc.",2400 Dairy Road,Melbourne,FL,32904.0,mighty mushroom pizzeria & grill,32904,2400,5.0,-80.6380287658,28.0733081058,2400.0
72,"CRJ Management Services, Inc.","CRJ Management Services, Inc.",12 Miracle Stripe Hwy Ste 203,Fort Walton Beach,FL,32548.0,crj management services inc,32548,12,37.0,-86.6116751123,30.4052606646,12.0
73,Mi Peru Restaurant,Mi Peru Trading Company,1760 NE Miami Gardens Drive,Miami,FL,33179.0,mi peru restaurant,33179,1760,9.0,-80.1687220554,25.9456913277,1760.0
74,William King,WIlliam King,785 Phillips Way,Haines City,FL,33844.0,william king,33844,785,0.0,-81.6108147888,28.0574647382,785.0
75,"Nova Surveyor, Inc.","Nova Surveyor, Inc.","5582 N.W. 7 Street, Suite 202",Miami,FL,33126.0,nova surveyor inc,33126,5582,39.0,-87.2530784539,30.466762309,5582.0
76,Papa John's Pizza,"L-N-W Pizza, Inc",10344 W. Sample Rd,Coral Springs,FL,33065.0,papa johns pizza,33065,10344,0.0,-80.2641046806,26.2725428511,10344.0
77,"Berry Patches, Inc.","Berry Patches, Inc.",5807 Downing St.,Dover,FL,33527.0,berry patches inc,33527,5807,8.0,-82.2223183422,27.9924907543,13987.0
78,Sandbar Grill,"Etyet, Inc.",2602 Bayshore Blvd,Dunedin,FL,34698.0,sandbar grill,34698,2602,0.0,-82.7803899428,28.0494935024,2602.0
79,Meerkat Underground Cable System,Meerkat Underground Cable System,2225 E. 1031 FP Ave,Tampa,FL,33612.0,meerkat underground cable system,33612,2225,71.0,-81.8921169177,30.2333748114,2225.0
80,Dr. Lorena Lavarne,"Dr. Lorena Lavarne & Associates, P.A.",1872 South Tamiami Trail; Suite E,Venice,FL,34293.0,dr lorena lavarne,34293,1872,19.0,-80.744902175,28.3878924776,1872.0
81,Florida Chemical,Florida Chemical,6810 E. Chelsea St.,Tampa,FL,33610.0,florida chemical,33610,6810,6.0,-82.4026296938,27.9852522521,5142.0
82,Ancient City Veterinary Hospital,"Fred Springer DVM, P.A.",1967 Old Moultrie Road,Saint Augustine,FL,32086.0,ancient city veterinary hospital,32086,1967,4.0,-81.3268409586,29.8655845691,1967.0
83,BJS Wholesale Club,"BJ'S WHOLESALE CLUB, INC.",7007 SW 117th Ave,Miami,FL,33183.0,bjs wholesale club,33183,7007,6.0,-80.3821192589,25.7024301866,7007.0
84,Scenic Hills Country Club,The Fairways Group L.P.,8891 Burning Tree Rd.,Pensacola,FL,32514.0,scenic hills country club,32514,8891,9.0,-87.2366549692,30.5429010339,8891.0
85,Perdido Bay Golf Club,"Perdido Bay Golf, LLC",1 Doug Ford Drive,Pensacola,FL,32507.0,perdido bay golf club,32507,1,0.0,-87.4220679055,30.3284458443,1.0
86,Pretzel Time,"JCT Future, LLC",8021 Citrus Town Center Mall,Tampa,FL,33625.0,pretzel time,33625,8021,85.0,-82.5788779144,28.0701672307,12901.0
87,Hi Tech Pool and Solar,Hi-Tech Pool & Solar LLC,2208 Summersweet Drive,Alva,FL,33920.0,hi tech pool and solar,33920,2208,81.0,-81.9040636834,26.553734443,8800.0
88,PRICE CHOICE,JYMD FOOD CORP,4500 NW 183rd ST,Miami,FL,33055.0,price choice,33055,4500,8.0,-80.2742399335,25.9397448733,4500.0
89,Perricone's Marketplace Restaurant,"La Cucina Management, Inc.",15 SE 10th Street,Miami,FL,33131.0,perricones marketplace restaurant,33131,15,0.0,-80.1926739419,25.7645791817,15.0
90,Don Pan,"Don Pan Kendall 137, Inc.",13758 SW 88th Street,Miami,FL,33186.0,don pan,33186,13758,14.0,-80.4171824839,25.6854199941,13701.0
91,Outback Crab Shack At Six Mile,Six Mile Marina and Outback Crab Shack Inc,8155 County Road 13 N,Saint Augustine,FL,32092.0,outback crab shack at six mile,32092,8155,29.0,-81.5427187702,29.9604337763,8155.0
92,"Design Center at The Avenues, LLC","Design Center at The Avenues, LLC","8999 Western Way, Suite 108",Jacksonville,FL,32256.0,design center at the avenues llc,32256,8999,0.0,-81.5675121537,30.2207741312,8999.0
93,Bright Glow Candle Corp,Bright Glow Candle Corp,3645 NW 74th St,Miami,FL,33147.0,bright glow candle corp,33147,3645,7.0,-80.2574729842,25.8414289475,3645.0
94,Armstrong Elevator Company,Armstrong Elevator Company,9225 Ulmerton Road,Largo,FL,33771.0,armstrong elevator company,33771,9225,0.0,-82.7675676147,27.8946202296,9225.0
95,Piminco Inc dba Meng Li's Asia Pacific Grille,"Piminco, Inc.",2601-41 South Military Trail,West Palm Beach,FL,33415.0,piminco inc dba meng lis asia pacific grille,33415,2601-41,9.0,-80.1128313958,26.6386972834,2601.0
96,"Almanza, Pedro FLC","Almanza, Pedro",12865 89th St.,Fellsmere,FL,32948.0,almanza pedro flc,32948,12865,6.0,-80.6421423216,27.7587116112,14901.0
97,"Barajas Torres, Ramiro - FLC","Barajas Torres Harvesting, Inc.",175 Lake Pearl Drive,Lake Placid,FL,33852.0,barajas torres ramiro - flc,33852,175,0.0,-81.3633204603,27.2866404043,175.0
98,"Elite Modeling Management, Inc.","Elite Modeling Management, Inc.","119 Washington Avenue, Suite 501",Miami Beach,FL,33139.0,elite modeling management inc,33139,119,0.0,-80.1348848501,25.7707504399,119.0
99,The Knife Restaurant (Hallandale),Carma LLC,602 E. Hallandale Beach Blvd,Hallandale,FL,33009.0,the knife restaurant (hallandale),33009,602,6.0,-80.1422859677,25.9856467094,602.0
100,Florida State Metal Building Systems,"Florida State Metal Building Erectors, Inc.",9270 Bay Plaza Blvd. #608A,Tampa,FL,33619.0,florida state metal building systems,33619,9270,6.0,-82.3487868652,27.9469183787,9270.0
101,Gold's gym,"Grades Enterprises, Inc.",499 NE Spanish River Blvd,Boca Raton,FL,33431.0,golds gym,33431,499,0.0,-80.0813189222,26.3861022806,499.0
102,Hammer Construction,Hammer Construction Corp,2990 NW 40 St,Miami,FL,33142.0,hammer construction,33142,2990,20.0,-80.245309959,25.8116251252,2990.0
103,"Pensacola Wireless, Inc","Wilson Enterprises Corporation, Inc",116 Julia Way,Gulf Breeze,FL,32561.0,pensacola wireless inc,32561,116,0.0,-87.1755294984,30.3647278268,116.0
104,"Palafox, Roselio, FLC (Hotel)","Palafox, Roselio",6625 SW Miami Ave,Arcadia,FL,34266.0,palafox roselio flc (hotel),34266,6625,0.0,-81.8825908756,27.1255417137,6625.0
105,The Main Street Bistro,"Global Attitude, LLC",1152 Main St.,Lady Lake,FL,32159.0,the main street bistro,32159,1152,10.0,-82.8623414967,29.7551327667,1152.0
106,Frenchman's Reserve Country Club,"Frenchman's Reserve Country Club, Inc.",3370 Grande Corniche,Palm Beach Gardens,FL,33410.0,frenchmans reserve country club,33410,3370,0.0,-80.0927342171,26.8629830396,3370.0
107,Welcome Home Design Center,"Welcome Home Design, Inc.",850 N. Apollo Blvd.,Melbourne,FL,32935.0,welcome home design center,32935,850,0.0,-80.6386560461,28.120360575,850.0
108,"Rapid Oil Change, Inc.","Rapid Oil Change, Inc.",14200 West Dixie Highway,North Miami,FL,33161.0,rapid oil change inc,33161,14200,5.0,-80.180059565,25.8983875617,13398.0
109,Stacked Burgers,Stacked I LLC,1617 W. Platt Street,Tampa,FL,33606.0,stacked burgers,33606,1617,0.0,-82.4759588865,27.9418982571,1617.0
110,"Palmdale Locktending, Inc.","Palmdale Oil Company, Inc.",120 S. Parrot Ave,Okeechobee,FL,34974.0,palmdale locktending inc,34974,120,10.0,-80.8299996003,27.2429256785,120.0
111,Taps & Tequila,"North Carolina LPV, LLC",1235 Central Ave,Saint Petersburg,FL,33705.0,taps & tequila,33705,1235,4.0,-82.6510920427,27.7712307783,1235.0
112,Terry's Supply Company,Terry's Supply Company,6211 17th Street E,Bradenton,FL,34203.0,terrys supply company,34203,6211,0.0,-82.5434760814,27.430545967,6211.0
